step	pg2
0	0.00019225
1	0.00035336319000000004
2	0.00047488826
3	0.000540607
4	0.000464476
5	0.000388345
6	0.00031221400000000006
7	0.00023608300000000005
8	0.000159952
9	8.382099999999998e-05
